,30 June 2024,,,30 June 2023,
Condensed statement of comprehensive income,"Cells IA Technologies, S.L.","Terafront Farmatech, S.L.","Cells IA Technologies, S.L.",,"Enervit Nutrition, S.L."
,,,,,
Revenue,195 — — — (139) — (159) — (7) —,,,—,"3,322"
Raw materials and consumables used,,,,"— (2,727) — (257) — (263) — (101)",
Employee benefit expenses,,,,,
Other operating expenses,,,,,
Amortisation and depreciation,,,,,
Impairment and gain/(loss) on disposal of fixed assets,— —,,,—,—
Operating profit/(loss),(110),—,,— (26),
Finance costs - net,— —,,,— —,
Income tax,24,—,,— —,
Profit/(loss) for the period,(86),—,,— (26),
,,,,,
Other comprehensive income,— —,,,— —,
,,,,,
TOTAL COMPREHENSIVE INCOME,(86),—,,— (26),
,,,,,
