,Hombre,,Mujeres,,Total,,
,2025,2024,2025,2024,2025,2024,% Variación
"Número de accidentes laborales 44 43 48 43 92 86 6,98 % registrables*",,,,,,,
"Índice de frecuencia - Tasa de accidentes 14,70 % 14,59 % 13,77 % 12,44 % 14,20 % 13,43 % 5,71 % de trabajo registrable",,,,,,,
"Índice de gravedad 0,32 % 0,56 % 0,31 % 0,29 % 0,31 % 0,41 % -24,17 %",,,,,,,
"Índice de incidencia 4,20 % 4,12 % 4,05 % 3,73 % 4,12 % 3,91 % 5,30 %",,,,,,,
