,Total share capital Par value (thousand No. shares (euros) euros),,
,,,
At 1 January 2024,"54,016,157",0.06,"3,241"
Balance at 30 June 2024,"54,016,157",0.06,"3,241"
,,,
At 1 January 2025 Balance at 30 June 2025,"51,235,762",0.06,"3,074"
,"51,235,762",0.06,"3,074"
