,2024 2023
Saldo inicio del ejercicio,2.196.011 644.114
Acciones adquiridas en contrato de liquidez (c.1) Acciones vendidas en contrato de liquidez (c.1) Acciones adquiridas en Programas de recompra (c.2) Acciones para reducción de capital en Programas de recompra (c.2),550.137 1.315.909 (564.563) (1.312.404) 685.074 1.548.392 (2.780.395) —
Saldo final del ejercicio,86.264 2.196.011
