,Manufacturing,Marketing,Other,TOTAL
Total segment revenues Inter-segment revenues Revenues from external customers,"600,351","427,528",—,"1,027,879"
,"(264,130)",—,—,"(264,130)"
,"336,221","427,528",—,"763,749"
