"Trademarks Computer Development and licences software Total Balances at 01.01.18 Cost 8,737 21,920 10,548 41,205 Accumulated amortisation (308) (4,865) (8,954) (14,127) Net carrying amount 01.01.18 8,429 17,055 1,594 27,078 Additions 123 9,010 936 10,069",
Amortisation charge,"(181) (1,567) (749) (2,497)"
,
"Cost 8,860 30,930 11,484 51,274 Accumulated amortisation (489) (6,432) (9,703) (16,624)",
,"8,371 24,498 1,781 34,650"
"Additions 13 13,999 614 14,626",
Retirements Eliminations from amortisation,- - (18) (18) - - 18 18
,- (341) - (341)
"Amortisation charge (455) (2,644) (757) (3,856)",
,
"Cost 8,873 44,929 12,080 65,882",
,- (341) - (341)
"Accumulated amortisation (944) (9,076) (10,442) (20,462)",
,"7,929 35,512 1,638 45,079"
