,2022 2021
Ingresos por intereses,6 68 1.764 —
Otros ingresos financieros,
Total ingresos financieros,1.770 68
,
Gastos por intereses,(606) (669) (243) (236)
Otros gastos financieros,
Total gastos financieros,(849) (905)
,
Resultado por enajenaciones de instrumentos financieros,1.831 1.161 (11) 908
Variación en el valor razonable de instrumentos financieros,
Deterioro y resultado en valoración de instrumentos financieros,1.820 2.069
,
Diferencias de cambio,(821) (178)
,(821) (178)
,
Resultado financiero neto,1.920 1.054
