,,,Ingresos operativos,,EBITDA “sin I+D”
,,,,,
Objetivo establecido por ROVI para 2023,,"Duplicar los ingresos operativos del año 2018 (303,2x2=606,4)",,,"Incrementar 2,5 veces el EBITDA “sin I+D” (63,0x2,5=157,5)"
,,"606,4 Millones de euros",,,"157,5 Millones de euros"
