2023,2022 2021
Hombres Mujeres Total,Hombres Mujeres Total Hombres Mujeres Total
912 1.031 1.943,894 979 1.873 816 893 1.709
2 3 5,5 5 10 1 1 2
21 33 54,20 30 50 12 14 26
21 36 57,5 16 21 0 3 3
7 2 9,7 3 10 4 1 5
1 4 5,1 2 3 0 1 1
0 2 2,3 8 11 1 4 5
1 1,1 0 1 0 0 0
2 4 6,3 3 6 0 0 0
2 6 8,3 1 4 0 0 0
0 1 1,0 1 1 0 0 0
0 1 1,0 1 1 0 0 0
0 1 1,0 1 1 0 0 0
4 3 7,1 0 1 0 0 0
0 4 4,0 0 0 0 0 0
