,,Miles de euros
,,2025 2024
Cuota íntegra,,(7.162) 3.418 1.420 636 (205)
Deducciones,,
Impuesto diferido,,
Ajuste gasto IS ejercicios anteriores,,
Retenciones soportadas en el extranjero,,
,,(1.893) 1.687
