,2019,,2018,,
DISTRIBUTION EMPLOYEES BY PROFESSIONAL GROUP* / GENDER,Men Women,TOTAL,Men Women,TOTAL,Var.
1 1 6 2 26 20 3 79 92 4 130 105 5 225 218 6 68 103 7 62 135 8 3 1,,7 46 171 235 443 171 197 4,1 5 27 35 68 88 108 93 210 201 60 84 59 142 5 3,6 62 156 201 411 144 201 8,17% -26% 10% 17% 8% 19% -2% -50%
,12 5,17,12 3,15,13%
Subsidiaries 8 11,,19,8 12,20,-5%
TOTAL 614 696,,"1,310",558 666,"1,224",7%
