Miles de euros 2016 2015,
Débitos y partidas a pagar a largo plazo: - Préstamos con entidades de crédito (a) - Deudas con organismos oficiales (b),10.940 20.932 9.170 10.848
,20.110 31.780
Débitos y partidas a pagar a corto plazo: - Préstamos con entidades de crédito (a) 9.991 7.247 - Deudas con organismos oficiales (b) 2.798 2.750 - Deudas con empresas del grupo y asociadas a corto plazo (Nota 31.f) 88 87 - Proveedores 31.260 25.705 - Cuentas a pagar a partes vinculadas (Nota 31.f) 62.429 27.427 - Acreedores varios 23 15 - Personal 2.905 2.480 109.494 65.711 129.604 97.491,
