,2023 2022,
Saldo inicial,9 72,
Ganancias / (Pérdidas) netas en patrimonio neto,1 (4),
Bajas,(10) (59),
Altas,24,—
Saldo final,24 9,
Menos: Parte no corriente,24 9,
Parte corriente,— —,
