"Technical IT facilities, Furniture, equipment Land and machinery fittings and buildings and tools and other vehicles",,In progress Total
"Balances at 01.01.19 Cost 34,296 183,855 3,297 14,540 - - 235,988 Accumulated amortisation (18,129) (106,425) (2,567) (13,030) - - (140,151) Net carrying amount 01.01.19 16,167 77,430 730 1,510 - - 95,837 Additions 1,043 23,999 129 728 - - 25,899",,
,"- - - - 24,234 - 24,234",
"Retirements - (444) (24) (2) - - (470) Eliminations from amortisation - 444 24 - - - 468 Amortisation charge (228) (9,585) (109) (843) (3,595) - (14,360)",,
,,
"Cost 35,339 207,410 3,402 15,266 24,234 - 285,651 Accumulated Amortisation (18,357) (115,566) (2,652) (13,873) (3,595) - (154,043)",,
,"16,982 91,844 750 1,393 20,639 - 131,608",
"Additions 406 22,574 47 1,635 141 14,675 39,478 Retirements - (96) - (16) - - (112) Eliminations from amortisation - 47 - 9 - - 56 Amortisation charge (236) (10,820) (108) (850) (3,621) - (15,635)",,
,,
"Cost 35,745 229,888 3,449 16,885 24,375 14,675 325,017 Accumulated Amortisation (18,593) (126,339) (2,760) (14,714) (7,216) - (169,622)",,
,"17,152 103,549 689 2,171 17,159 14,675 155,395",
