,Miles de euros
,2024 2023
Cobros y pagos por instrumentos de pasivo financiero:,
a) Emisión,
- Deudas con empresas del grupo y asociadas (Nota 31 h),34.083 4.052
- Otras deudas (Nota 18),
,131.035
b) Devolución y amortización,
- Deudas con entidades de crédito,(43.788) (1.555) (1.535) (1.770)
- Deudas con empresas del grupo y asociadas,
- Otras deudas,
- Pago de intereses,
,(48.648)
Pagos por dividendos y remuneraciones de otros instrumentos de patrimonio:,
- Dividendos (Nota 15 b) y d),(56.451) (47.787)
- Transacciones con acciones propias (Nota 15 c),
,(104.238)
Flujos de efectivo generados / (utilizados) de las actividades de financiación,(21.851)
