,,Project,Thousand euros,Years,
Company Government entity,,,Face Initial fair Repayment Grace value value period period,,
ROVI Ministry of Science and Innovation ROVI Ministry of Science and Innovation ROVI Industrial Technological Development Centre ROVI Industrial Technological Development Centre,,(1) (1) (1) (2),81 60 9 3 81 58 9 3 349 297 14 2,,
,,,152 136 8,,—
,,,663 551,,
