,Thousands of euros
2017 2016,
Sales of goods: - Subsidiaries (Note 22.a),"26,669 23,450"
"- Joint Ventures 173 - 26,842 23,450 Rendering of services - Subsidiaries (Note 22.c) 2,834 2,283 2,834 2,283 29,676 25,733",
