Name of indirect,Name of direct shareholder,% of shares carrying voting,% of voting rights through,% of total voting rights
shareholder,,rights,financial instruments,
,,,,
"WELLINGTON MANAGEMENT GROUP, LLP",DIVERSAS I.I.C.,4.92,0.00,4.92
"T.ROWE PRICE ASSOCIATES, INC.",T. ROWE PRICE INTERNATIONAL FUNDS,3.00,0.00,3.00
