,Thousands of euros,,,
,Less than,Less than,Less than,Less than
"At 31 December, 2017",1 year,1 year,1 year,1 year
Bank borrowings,"13,328","17,784",-,-
Debt with government entities,"2,809","3,840","3,748","2,626"
Trade and other payables,"53,056",-,-,-
,"69,193","21,624","3,748","2,626"
