,,CURRENT PERIOD 31/12/2021,PREVIOUS
,,,PERIOD
,,,31/12/2020
(+) Cash in hand and at bank,1550,99.035,53.162
(+) Other financial assets,1552,,
(-) Less: bank overdrafts repayable on demand,1553,,
TOTAL CASH AND CASH EQUIVALENTS AT END OF PERIOD,1600,99.035,53.162
