,Freedom of,,
,,Other,Total
,amortization,,
,,,
"At 1 January, 2020",452,626,"1,078"
(Charged)/credited to profit and loss,(149),—,(149)
"At 31 December, 2020",303,626,929
(Charged)/credited to profit and loss,(153),—,(153)
"At 31 December, 2021",150,626,776
