2023,2022,,,2021,,
18-30 31-40 41-50 51-60 >60 Total,18-30 31-40,41-50 51-60 >60 Total 18-30 31-40 41-50 51-60 >60 Total,,,,
437 549 585 328 26 1.925,312 528 569 330 28,,1.767,219 414,449 249 13,1.344
0 0 0 0 0 0,– – 0 0 0,,0,1 –,0 0 0,1
43 18 9 3 1 74,53 18 10 2 0,,83,116 74,48 15 0,253
6 1 5 3 1 16,8 1 4 1 1,,15,4 6,5 1 0,16
59 5 0 1 0 65,78 11 0 1 0,,90,97 7,0 0 0,104
1 0 0 3 27 31,1 – 0 0 37,,38,2 1,0 4 26,33
546 573 599 338 55 2.111,452 558 583 334 66 1.993 439 502 502 269 39 1.751,,,,,
