,Marcas comerciales y Aplicaciones Fondo de Desarrollo licencias informáticas comercio,,,,Total
Saldo al 01.01.24,,,,,
Coste Deterioro acumulado Amortización acumulada,8.899 44.929 15.184 — 69.012,,,,
,—,(494),—,— (494),
,(2.738) (18.960) (12.918) — (34.616),,,,
Valor neto contable 01.01.24,6.161 25.475 2.266 — 33.902,,,,
Altas Bajas Bajas de amortización Deterioro Dotación a la amortización,—,—,3.100 — 3.100,,
,— — —,(34) (1),,—,(35)
,,25 — — 25,,,
,,—,—,—,—
,(442) (1.949) (651) — (3.042),,,,
Saldo al 31.12.24,,,,,
Coste Deterioro acumulado Amortización acumulada,8.899 44.895 18.283,,,— 72.077 — (494) — (37.633),
,—,(494),—,,
,(3.180) (20.884) (13.569),,,,
Valor neto contable 31.12.24,5.719 23.517 4.714 — 33.950,,,,
Altas Variación de perímetro - Coste Variación de perímetro - Amortización Dotación a la amortización,— — —,45 2.558 — 2.603 — 46 2.702 2.748 — (30) — (30),,,
,(442) (1.767) (1.177) —,,,,(3.386)
Saldo al 31.12.25,,,,,
Coste Deterioro acumulado,8.899 44.940 20.886 2.702 77.427 — (494) — — (494),,,,
Amortización acumulada,(3.622) (22.651) (14.775),,,—,(41.048)
Valor neto contable 31.12.25,5.277 21.795 6.111 2.702 35.885,,,,
