,,,,
,Q1 2024,Q1 2023,Growth,% Growth
,0.1,0.0,0.0,
,0.2,0.1,0.1,
,0.0,0.0,0.0,
,0.3,0.3,( 0.0 ),
,0.1,1.1,(1.0),
,0.3,0.3,0.0,
,1.0,1.8,(0.8),
,0.5,0.6,(0.2),
,1.2,0.1,1.1,
,6.3,2.4,3.9,
,8.0,3.1,4.9,
Total Capex,9.0,4.9,4.1,
