,2024 2023
Beneficio atribuible a los accionistas de la Sociedad,136.881 170.335 51.210 53.192
Nº medio ponderado de acciones ordinarias en circulación (miles),
Ganancias básicas y diluidas por acción (euros por acción),"2,67 3,20"
