,,Participación,,,Auditor
Denominación Social Domicilio,,2022,2021,Actividad,
"Pan Química Farmacéutica, S.A.","C/ Rufino González 50, Madrid (España)",100%,100%,(1),A
"Gineladius, S.L.","C/ Rufino González 50, Madrid (España)",100%,100%,(2),N/A
"Rovi Pharma Industrial Services, S.A.U.","Avda. Complutense 140 , Alcalá de Henares (España)",100%,100%,(1),A
"Rovi Escúzar, S.L","C/ Julián Camarillo 35, Madrid (España)",100%,100%,(1),N/A
"Glicopepton Biotech, S.L.","C/ Julián Camarillo 35, Madrid (España)",51%,-,(4),N/A
Rovi Biotech GmbH,"Bahnhofstrasse 10, Zug, (Suiza)",100%,100%,(1),N/A
Bertex Pharma GmbH,"Rudolf-Diesel-Ring 6, Holzkirchen (Alemania)",100%,100%,(3),N/A
Rovi Biotech Limited,"10-18 Union Street, SE1 1SZ Londres, (Reino Unido)",100%,100%,(1),B
"Rovi Biotech, S.r.l","Viale Achille Papa 30, Milán (Italia)",100%,100%,(1),E
"Rovi, GmbH","Rudolf-Diesel-Ring 6, Holzkirchen (Alemania)",100%,100%,(1),C
"Rovi, S.A.S.","Rue du Drac 24, Seyssins (Francia)",100%,100%,(1),D
Rovi Biotech sp.z.o.o.,"Ulica Domaniewska 44, Varsovia, Polonia",100%,100%,(1),N/A
