,2024 2023,
,,
Retribución de consejeros ejecutivos Resultado de la Sociedad dominante,2.605,2.106 12.071
,75.546,
Retribución de consejeros ejecutivos / Resultado atribuido a la sociedad dominante,"3,45 %","17,45 %"
