,Nota,Al 31 de diciembre,
,,2025,2024
PATRIMONIO NETO,,76.888,60.284
"Fondos propios Capital Prima de emisión Reservas (Acciones y participaciones en patrimonio propias) Resultados de ejercicios anteriores Resultado del ejercicio Ajustes por cambio de valor Diferencias de conversión Subvenciones, donaciones y legados recibidos",14 14 15 15 15 16 17,57.523 3.074 87.636 7.032 (5.174) (81.124) 46.079 (35) (35) 19.400,59.283 3.074 87.636 7.032 (5.545) (108.460) 75.546 (28) (28) 1.029
PASIVO NO CORRIENTE,,165.815,157.655
Deudas a largo plazo Deudas con entidades de crédito Otros pasivos financieros Deudas con empresas del grupo y asociadas a largo plazo Pasivos por impuesto diferido Periodificaciones a largo plazo,7 y 18 7 y 18 7 y 18 21 19,83.875 74.585 9.290 72.500 7.621 1.819,80.503 70.659 9.844 72.500 2.834 1.818
PASIVO CORRIENTE,,304.055,268.870
"Provisiones a corto plazo Deudas a corto plazo Deudas con entidades de crédito Instrumentos financieros derivados Otros pasivos financieros Deudas con empresas del grupo y asociadas a corto plazo Acreedores comerciales y otras cuentas a pagar Proveedores Proveedores, empresas del grupo y asociadas Acreedores varios Personal (remuneraciones pendientes de pago) Pasivos por impuesto corriente Otras deudas con las Administraciones Públicas",20 7 y 18 7 y 18 7 y 18 7 y 18 7 y 18 7 y 18 7 y 18 7 y 18 23 23,10.073 22.168 20.409 6 1.753 99.440 171.942 25.161 134.505 18 6.048 4.384 1.826,14.116 17.823 16.280 — 1.543 18.578 217.989 34.129 173.114 65 6.567 1.871 2.243 364
Periodificaciones a corto plazo,19,432,
,,,
TOTAL PATRIMONIO NETO Y PASIVO,,546.758,486.809
