H1 2024,H1 2023,Growth
183.4,184.5,(1.1)
116.9,119.1,(2.1)
69.8,74.5,(4.8)
47.2,44.5,2.6
30.5,31.9,(1.4)
16.7,12.6,4.0
12.5,5.2,7.3
25.0,22.1,2.8
4.7,8.3,(3.5)
13.0,13.7,(0.7)
18.1,23.9,(5.8)
(6.9),(7.8),1.0
26.4,23.6,2.8
0.7,0.5,0.1
210.5,208.6,1.9
