Nombre o denominación social,Cargo
DON PEDRO CARRETERO TRILLO,Director de la Red Hospitalaria
DON FERNANDO MARTÍNEZ MORALES,Director Comercial línea B
DOÑA ARÁNZAZU LOZANO PIRRONGELLI,Auditora Interna
DON JOSÉ EDUARDO GONZÁLEZ MARTÍNEZ,Director de Relaciones Institucionales y Comunicación
DON MIGUEL ÁNGEL CASTILLO ROMÁN,Director de Internacional y Desarrollo de Negocio
DON FRANCISCO JAVIER ANGULO GARCÍA,Director de Recursos Humanos
DON MIGUEL ÁNGEL ORTEGA SÁNCHEZ,Director Industrial
DON IBÓN GUTIERRO ADÚRIZ,Director de Investigación Preclínica
DOÑA MAITE MUÑOZ PINEDA,Directora Comercial líneas C y D
DON PABLO DOMÍNGUEZ JORGE,Director Económico-Administrativo
