Activos por impuestos diferidos,Valoración de AFVRPN Provisiones,,,Otros Total
Al 1 de enero de 2023,(1) 555,,,685 1.239
Cargo / (abono) a resultados Impuesto cargado a patrimonio neto,,1 (145),,166 22 (10) (26)
,,—,(16),
Al 31 de diciembre de 2023,— 394,,,841 1.235
Cargo / (abono) a resultados,,—,(32),42 10
Al 31 de diciembre de 2024,— 362,,,883 1.245
