Thousands of euros 2017 2016,
Deferred income tax assets - Temporary differences - Other tax carryforwards Deferred income tax liabilities: - Temporary differences Net deferred income tax,"1,102 1,095 7,549 2,512"
,"8,651 3,607"
,"(2,651) (2,691)"
,"(2,651) (2,691)"
,"6,000 916"
