Estándar Temático,Requisito de divulgación,Parámetros / Importes monetarios,Información sobre las fuentes de incertidumbre de medida,Páginas
NEIS E1 Cambio climático,Consumo y combinación energéticos (E1-5),Consumo de combustible procedente del petróleo crudo y de productos petrolíferos - fuentes fijas,"Se toman los valores correspondientes a las facturas donde se detallan los litros de combustible (diésel) que han sido recargados en los grupos electrógenos y depósitos de las bombas contra incendio (PCI) en cada una de las plantas. Para ajustar el dato de diciembre, en caso de no haber recibido la factura correspondiente, se calcula el consumo diario a partir de las facturas recibidas durante el año y se extrapola para completar los 12 meses.",69
NEIS E1 Cambio climático,Consumo y combinación energéticos (E1-5),Consumo de combustible procedente del petróleo crudo y de productos petrolíferos - fuentes móviles,En 2025 únicamente se ha estimado el dato procedente de la filial Italia debido a que no se ha podido obtener el dato de litros de combustible consumido por la flota de vehículos en el mes de diciembre por parte de la empresa de renting. El dato de este mes se ha obtenido realizando un promedio mensual con los consumos disponibles de enero a noviembre.,69
NEIS E1 Cambio climático,Consumo y combinación energéticos (E1-5),Consumo de electricidad en Kwh,"Para los casos en los que no se ha recibido la factura de electricidad correspondiente al mes de diciembre, se ha calculado el consumo diario a partir de las facturas recibidas durante el año y se ha extrapolado para completar los 12 meses.",69
NEIS E1 Cambio climático,Consumo y combinación energéticos (E1-5),Autoconsumo eléctrico (fotovoltaica) Kwh,"El único dato estimado en 2025 ha sido el correspondiente a la planta de Granada, donde tras un fallo del contador desde agosto se ha estimado el autoconsumo eléctrico de este periodo tomando como referencia la producción mensual del año anterior y se ha ajustado aplicando una reducción del consumo del 5% utilizando enfoque conservador.",70
NEIS E3 Agua y recursos marinos,Consumo de agua (E3-4),Consumo total de agua en m3,"Para los casos en los que no se ha recibido la factura de agua correspondiente al mes de diciembre, se ha calculado el consumo diario a partir de las facturas recibidas durante el año y se ha extrapolado para completar los 12 meses.",86
