,"Subven., Acciones Resultado donaciones Capital propias en ejercicios Resultado Ajustes por y legados escriturado Reservas patrimonio anteriores del ejercicio cambios de recibidos (Nota 14) (Nota 15) (Nota 15) (Nota 15) (Nota 16) valor (Nota 17) TOTAL"
"SALDO, FINAL AÑO 2014",3.000 6.959 (2.813) 84.018 24.344 (2) 4.659 120.165
Ajustes por cambios de criterio 2014 y anteriores Ajustes por errores 2014 y anteriores,- - - - - - - - - - - - - - - -
"SALDO AJUSTADO, INICIO AÑO 2015",3.000 6.959 (2.813) 84.018 24.344 (2) 4.659 120.165
Total ingresos y gastos reconocidos - Distribución del resultado 2014 - Distribución de dividendos - Operaciones con acciones o participaciones propias (netas) Dividendos de las acciones propias (Nota 15.b),- - - - 17.509 - (251) 17.258 - - - 15.894 (15.894) - - - - - - - (8.450) - - (8.450) - - (5.299) 151 - - - (5.148) - - - 104 - - - 104
"SALDO, FINAL AÑO 2015",3.000 6.959 (8.112) 100.167 17.509 (2) 4.408 123.929
Ajustes por cambios de criterio 2015 y anteriores Ajustes por errores 2015 y anteriores,- - - - - - - - - - - - - - - -
"SALDO AJUSTADO, INICIO AÑO 2016",3.000 6.959 (8.112) 100.167 17.509 (2) 4.408 123.929
Total ingresos y gastos reconocidos - Distribución del resultado 2015 - Distribución de dividendos - Operaciones con acciones o participaciones propias (netas) Dividendos de las acciones propias (Nota 15.b) Otras variaciones del patrimonio neto,- - - - 31.842 (1) (504) 31.337 - - - 10.559 (10.559) - - - - - - - (6.950) - - (6.950) - - (589) 48 - - - (541) - - - 97 - - - 97 - - - (214) - - - (214)
"SALDO, FINAL AÑO 2016",3.000 6.959 (8.701) 110.657 31.842 (3) 3.904 147.658
