,Miles de euros
,2025 2024
Ingresos financieros:,
De participaciones en instrumentos de patrimonio - En empresas del grupo y asociadas (Nota 31.f) De valores negociables y otros instrumentos financieros - De empresas del grupo y asociadas (Nota 31.h),
,27.000 63.550
,
,2.536 1.816
- De terceros,580 200
,30.116 65.566
Gastos financieros:,(2.558) (1.986) (3.181) (3.057)
Por deudas con terceros Por deudas con empresas del grupo (Nota 31.h),
,(5.739) (5.043)
Variación en el valor razonable de instrumentos financieros:,
Derivados,(6) —
,(6) —
Diferencias de cambio:,
Diferencias de cambio,68 25
,68 25
Deterioro y resultado por enajenaciones de instrumentos financieros:,
Resultados por enajenaciones y otras,(622) (190)
,(622) (190)
,
Resultado financiero,23.817 60.358
