EARNINGS PER SHARE,,AMOUNT (X.XX euros),AMOUNT (X.XX euros),AMOUNT (X.XX euros),AMOUNT (X.XX euros)
Basic,1290,"1,84","0,57","2,76","1,10"
Diluted,1295,,,,
