,,INDIVIDUAL,,CONSOLIDATED,
,,CURRENT,PREVIOUS,CURRENT,PREVIOUS
,,PERIOD,PERIOD,PERIOD,PERIOD
AVERAGE NUMBER OF EMPLOYEES,2295,506,471,1.293,1.209
Men,2296,216,196,600,542
Women,2297,290,275,693,667
,,,,,
,,,,,
,,,,,
