Año base,KPI
Promoción del bienestar del empleado y generación de un ambiente laboral seguro,
2025,Alcanzar una tasa de accidentes laborales igual a cero en 203079
Gestión de riesgos ESG en la cadena de valor,
2025,Implantación de un proceso de debida diligencia de la cadena de valor para el año 2030.
