,2023 2022
Beneficio atribuible a los accionistas de la Sociedad,170.335 199.669 53.192 53.466
Nº medio ponderado de acciones ordinarias en circulación (miles),
Ganancias básicas y diluidas por acción (euros por acción),"3,20 3,73"
