,Miles de euros,,
,Deudas con entidades de crédito,,Pasivos financieros
,2025 2024,,2025 2024
,,,
Pasivos financieros a coste amortizado (Nota 18),74.585,,
No corrientes,74.585,,
,,,
Pasivos financieros a coste amortizado (Nota 18),20.409,,
Corrientes,,,
,,,
TOTAL,94.994,,
