,31 de diciembre de 2025,,31 de diciembre de 2024,
Balance resumido,"Cells IA Technologies, S.L.","Terafront Farmatech, S.L.","Cells IA Technologies , S.L.","Terafront Farmatech, S.L."
,,,,
Corriente,,,,
Efectivo y equivalentes al efectivo,— —,15.863 59.320,3 74.867,
Otros activos corrientes (excluido efectivo),,,302,19
Total activos corrientes,—,75.183,305 74.886,
Pasivos financieros (excluidos proveedores),—,,(226) (76),— (109)
Otros pasivos corrientes (incluidos proveedores),—,(32),,
Total pasivos corrientes,—,(32),(302),(109)
,,,,
No Corriente,,,,
Inmovilizado material,— —,2 —,4 10,— —
Inmovilizado intangible,,,,
Activos por impuestos diferidos,—,—,32,—
Total activos no corrientes,—,2,46,—
Total pasivos no corrientes,— —,,—,—
,,,,
ACTIVOS NETOS,—,75.153,49 74.777,
