,Share capital (Note 15),Share premium (Note 15),Legal reserve (Note 16),Treasury shares (Note 16),Retained earnings and voluntary reserves (Note 16),Profit for the year (Note 16),Other reserves (Note 16),TOTAL EQUITY
"Balance at 1 January, 2019","3,364","87,636",600,"(8,812)","186,792","17,895",(3),"287,472"
Total comprehensive income Transfer of 2018 profit Dividends 2018 (Note 16 e) Acquisition of treasury shares (Note 16 d) Reissue of treasury shares (Note 16 d) Other movements,- - - - - -,- - - - - -,- 73 - - - -,"- - - (4,718) 3,189 -","- 13,402 - - 1,682 (92)","39,273 (13,475) (4,420) - - -",- - - - - -,"39,273 - (4,420) (4,718) 4,871 (92)"
"Balance at 31 December, 2019","3,364","87,636",673,"(10,341)","201,784","39,273",(3),"322,386"
Total comprehensive income Transfer of 2019 profit Dividends 2019 (Note 16 e) Acquisition of treasury shares (Note 16 d) Reissue of treasury shares (Note 16 d) Other movements,- - - - - -,- - - - - -,- - - - - -,"- - - (37,255) 27,411 -","- 29,573 - - 10,077 (276)","61,057 (29,573) (9,700) - - -",- - - - - -,"61,057 - (9,700) (37,255) 37,488 (276)"
"Balance at 31 December, 2020","3,364","87,636",673,"(20,185)","241,158","61,057",(3),"373,700"
