,Thousand euros,,,,
,Equity instruments,,,Credits and other financial assets,
,,,,,
,2021,2020,,2021,2020
,,,,,
Financial assets at fair value through equity (Note 11),64,63,,-,—
Financial assets at amortised cost (Nota 10),-,—,,"27,384","33,225"
Non-current,64,63,,"27,384","33,225"
,,,,,
Financial assets at amortised cost (Note 10),—,—,,"186,083","293,067"
Cash and cash equivalents (Note 11),—,—,,"37,964","34,144"
Current,—,—,,"224,047","327,211"
,,,,,
TOTAL,64,63,,"251,431","360,436"
