,Nota,Ejercicio finalizado a 31 de diciembre de,
,,2016,2015
"OPERACIONES CONTINUADAS Importe neto de la cifra de negocios Ventas Variación de existencias de productos terminados y en curso Aprovisionamientos Consumos Deterioro de mercaderías, materias primas y otros aprovisionamientos Otros ingresos de explotación Ingresos accesorios y otros de gestión corriente Subvenciones de explotación incorporadas al resultado del ejercicio Gastos de personal Sueldos, salarios y asimilados Cargas sociales Otros gastos de explotación Servicios exteriores Tributos Pérdidas, deterioro y variación de provisiones por oper. comerciales",22 a) 22 b) 12 22 c) 22 d) 22 e) 22 f),231.382 231.382 (6.435) (129.543) (129.399) (144) 2.792 2.283 509 (29.080) (24.377) (4.703) (49.297) (48.873) (391) (33),200.547 200.547 (5.553) (109.305) (108.440) (865) 2.165 1.933 232 (31.229) (26.179) (5.050) (47.470) (47.112) (524) 166
Amortización del inmovilizado,5 y 6,(7.608),(6.321)
Imputación de subvenciones de inmovilizado no financiero y otras Deterioro y resultado por enajenaciones de inmovilizado,17 6,1.082 (25),750 (12)
Resultados por enajenaciones y otras Otros resultados,9,(25) 3.997,(12) -
,,,
RESULTADO DE EXPLOTACIÓN,,17.265,3.572
Ingresos financieros Gastos financieros,,15.374 (842),13.791 (1.724)
RESULTADO FINANCIERO,24,14.532,12.067
,,,
RESULTADO ANTES DE IMPUESTOS,,31.797,15.639
Impuestos sobre beneficios,23,45,1.870
RESULTADO DEL EJERCICIO,16,31.842,17.509
