,,,,Thousands of euros,,
,,,,2018,,2017
,,,,,2018,
Balance at beginning of the year,,,,6,,6
,,,,,6,
Additions (b),,,,-,,-
,,,,,-,
Balance at end of the year,,,,6,,6
,,,,,6,
