2023,2022 2021
Hombres Mujeres Promedio,Hombres Mujeres Promedio Hombres Mujeres Promedio
250.934 € 129.987 € 190.460 €,245.923 € 127.336 € 186.629 € 188.400 € 117.510 € 152.955 €
87.144 € 49.297 € 68.221 €,87.760 € 40.948 € 64.354 € 78.400 € 35.373 € 56.886 €
10.224 € 8.148 € 9.186 €,11.029 € 8.974 € 10.002 € 10.921 € 8.943 € 9.932 €
348.301 € 187.432 € 267.866 €,344.711 € 177.258 € 260.985 € 277.720 € 161.826 € 219.773 €
