,Devoluciones,Descuentos al sistema público de salud,Otros,Total
Al 1 de enero de 2023,,,,
Adiciones,,,,
Aplicaciones,,,,
Al 31 de diciembre de 2023,,,,
Adiciones/(Reversiones),,,,
Aplicaciones,(1.586) (6.649) — (8.235),,,
Al 31 de diciembre de 2024,1.459 12.330 327 14.116,,,
