,2018,,,,2017,,,
,Days off,Days worked,Absence rate,Sector absence rate,Days off,Days worked,Absence rate,Sector absence rate
TOTAL,"9,972 443,803 2.25% 3.44%",,,,"8,943 440,817 2.03% 3.20%",,,
