Año base,KPI,Objetivo,Año objetivo
Mitigación del cambio climático,,,
2024,Reducción de emisiones de Alcance 1 y 2.,63 %,2035
2024,Reducción del indicador tCO Alcance 3/miles de € facturados. 2,66 %,2035
2025,Presentación de los objetivos de reducción de emisiones a SBTi y aprobación de los mismos.,-,2026
2025,Incremento de la generación del autoconsumo de energía fotovoltaica.,15 %,2030
Gestión de riesgos ESG en la cadena de valor,,,
2025,Definición e implantación de un Plan de Movilidad Sostenible (alcance 3).,-,2030
