Ejercicio financiero 2023,2023,,,Criterios de contribución sustancial,,,,,,"Criterios de ausencia de perjuicio significativo (""No causa un perjuicio significativo"").",,,,,,,,,
Actividades económicas,Códigos,CapEx (€),"Proporción año 2023 de las CapEx,",Mitigación climático del cambio,Adaptación climático al cambio,Agua,Contaminación,Economía circular,Biodiversidad,Mitigación climático del cambio,Adaptación climático al cambio,Agua,Contaminación,Economía circular,Biodiversidad,Garantía mínimas,"Proporción de las CapEx que se ajusta a la taxonomía (A.1.) o elegible según la taxonomía (A.2), año 2022",Categoría actividad facilitadora,Categoría actividad de transición
A . Actividades elegibles según la Taxonomía,,,,,,,,,,,,,,,,,,,
A.1. Actividades medioambientalmente sostenibles (que se ajustan a la taxonomía),,,,,,,,,,,,,,,,,,,
"Instalación, mantenimiento y reparación de equipos de eficiencia energética",CCM 7.3,"354.478,8 €","0,581%",S,N/ EL,N/ EL,N/EL,N/ EL,N/ EL,S,S,S,S,S,S,S,"0,660%",F,
"Instalación, mantenimiento y reparación de estaciones de recarga para vehículos eléctricos en edificios (y en las plazas de aparcamiento anexas a los edificios)",CCM 7.4,"4.701,27 €","0,008%",S,N/ EL,N/ EL,N/EL,N/ EL,N/ EL,S,S,S,S,S,S,S,"0,028%",F,
"Instalación, mantenimiento y reparación de instrumentos y dispositivos para medir, regular y controlar la eficiencia energética de los edificios",CCM 7.5,"60.331,00 €","0,099%",S,N/ EL,N/ EL,N/EL,N/ EL,N/ EL,S,S,S,S,S,S,S,"0,057%",F,
"Instalación, mantenimiento y reparación de tecnologías de energía renovable",CCM 7.6.,"888.778,73 €","1,457%",S,N/ EL,N/ EL,N/EL,N/ EL,N/ EL,S,S,S,S,S,S,S,"0,112%",F,
CapEx de actividades medioambientalmen te sostenibles (que se ajustan a la taxonomía) (A.1),,"1.308.289,80 €","2,145%","2,14 5%",0%,0%,0%,0%,0%,S,S,S,S,S,S,S,"0,857%",,
De las cuales: facilitadoras,,"1.308.289,80 €","2,145%","2,14 5%",0%,0%,0%,0%,0%,S,S,S,S,S,S,S,"0,857%",F,
De las cuales: transición,,- €,0%,0%,,,,,,S,S,S,S,S,S,S,0%,,T
