,,
H1 2024,H1 2023,Growth
116.9,119.1,(2.1)
69.8,74.5,(4.8)
47.2,44.5,2.6
30.5,31.9,(1.4)
16.7,12.6,4.0
3.7,4.3,(0.6)
120.7,123.4,(2.8)
