,,Amount (thousand euros),
,,CURRENT,PREVIOUS
,,PERIOD,PERIOD
Remuneration for membership of Board or Board committees,2310,510,510
Salaries,2311,770,747
Variable cash remuneration,2312,1.313,383
Share-based remuneration systems,2313,,
Indemnities,2314,,
Long-term savings systems,2315,24,24
Other,2316,,
TOTAL,2320,2.617,1.664
