,,Position,Do they have executive powers?
Name of director,Name of group member,,
,,,
,,,
MR JUAN LÓPEZ- BELMONTE ENCINA,"PAN QUÍMICA FARMACÉUTICA, S.A","Representative Laboratorios Farmacéuticos Rovi, S.A.",Yes
