Nombre o denominación social del titular indirecto de la participación,A través de: Nombre o denominación social del titular directo de la participación,Número de derechos de voto
"T.ROWE PRICE ASSOCIATES, INC.",DIVERSAS I.I.C.,1.502.483
J O HAMBRO CAPITAL MANAGEMENT LIMITED,DIVERSAS I.I.C.,2.734.381
ALANTRA ASSET MANAGEMENT SGIIC SA.,"QMC II IBERIAN, S.L.",171.500
ALANTRA ASSET MANAGEMENT SGIIC SA.,QMC II IBERIAN CAPITAL FUND FIL,2.338.500
