,,,,Thousands of euros,
,,,,2018,
,,,,,2017
Mr Juan López-Belmonte Encina,,,,8,
,,,,,8
Mr Javier López-Belmonte Encina,,,,8,
,,,,,8
Mr Iván López-Belmonte Encina,,,,8,
,,,,,8
,,,,24,
,,,,,24
