,2022 2021,
Retribución de consejeros ejecutivos,2.068,4.748
Resultado de la Sociedad dominante,39.116 65.143,
Retribución de consejeros ejecutivos / Resultado atribuido a la sociedad dominante,"5,29 % 7,29 %",
