"2020 2019 Interest income 4 51 Total finance income 4 51 Interest costs (806) (648) Other finance costs (266) (279) Total finance costs (1,072) (927)",
,(245) 305
,(796) (146)
,"(1,041) 159"
,
,39 (51)
"39 (51) Net finance income/(cost) (2,070) (768)",
