,,CURRENT PERIOD,,,PREVIOUS PERIOD,,
,,% of,Euros per,% of,% of,Euros per,Amount
,,nominal,share,nominal,nominal,share,(thousand
,,value,(X.XX),value,value,(X.XX),euros)
Ordinary shares,2158,"305,00","0,18",9.150,"231,67","0,14",6.950
"Other shares (non-voting, redeemable, etc.)",2159,,,,,,
Total dividends paid,2160,"305,00","0,18",9.150,"231,67","0,14",6.950
a) Dividends charged to profit and loss,2155,"305,00","0,18",9.150,"231,67","0,14",6.950
a) Dividends charged to reserves or share premium,2156,,,,,,
c) Dividends in kind,2157,,,,,,
