At 31 December 2024,Less than 1 year,Between 1 & 2 years,Between 2 & 5 years,Over 5 years
Bank borrowings (Note 18) Debt with government entities (Note 18) Trade suppliers (Note 17) Lease liabilities (Note 18) Other payables (Note 17),"17,482 1,562 86,851 6,331","35,919 32,646 4,643 2,987 3,575 3,282",,
,,— — —,,
,,"7,151 3,630",,—
,"38,477",— — —,,
,"150,703 46,057 39,851 7,925",,,
