,% direct interest,Net carrying amount of shareholding,Capital,Reserves,Profit or loss for period,Total equity
"Pan Química Farmacéutica, S.A.U.",100 % 100 % 100 %,"1,771 293","601 1,959 373 30 298 (54) 25 38 (10) 7,816 392,255 133,956 6 (16) 441 10 1,812 341 25 3,357 495 5 293 193 21 60 (163) 10 19,415 (11) 30 11,969 2,424 18 180 (15)",,,"2,933 274 53"
"Gineladius, S.L.U.",,,,,,
Bertex Pharma GmbH (Nota 29.b),,"848 7,370 6 340 1,575 1,510 — 9,950 13,590",,,,
"Rovi Pharma Industrial Services, S.A.U.",100 %,,,,,"534,027"
"Rovi Biotech, Limited Rovi Biotech, S.r.l. Rovi, GmbH Rovi S.A.S. Rovi Biotech sp.z.o.o. Glicopepton Biotech, S.L.",100 % 100 % 100 % 100 % 100 % 51 % 100 % 100 %,,,,,"431 2,163 3,877 491 (82) 19,414 14,423 183"
"Rovi Escúzar, S.L.U.",,,,,,
"Rovi Biotech, GmbH",,183,,,,
,,"37,436",,,,
