pdf,page,stmt,item,value,source,context
Rovi_Annual_2017_ENG,12,income,revenue,22.0,table,"CONTINUING OPERATIONS Net sales Sales of goods Change in inventories of finished products & work in progress | 22 a) | 240,560 240,560 4,053"
Rovi_Annual_2017_ENG,12,income,net_income,16.0,table,"PROFIT FOR THE YEAR | 16 | 18,673"
Rovi_Annual_2017_ENG,278,balance,revenue,61.0,table,a) Trade receivables for sales of goods and services | 0061 | 96.767
Rovi_Annual_2017_ENG,278,balance,total_assets,100.0,table,TOTAL ASSETS (A+B) | 0100 | 259.124
Rovi_Annual_2017_ENG,280,income,revenue,205.0,table,(+) Net revenue | 0205 | 116.908
Rovi_Annual_2017_ENG,280,income,ebit,245.0,table,= OPERATING PROFIT/(LOSS) | 0245 | (6.454)
Rovi_Annual_2017_ENG,284,cashflow,operating_cashflow,435.0,table,A) CASH FLOWS FROM OPERATING ACTIVITIES (1+2+3+4) | 0435 | 9.675
Rovi_Annual_2017_ENG,285,balance,total_assets,1100.0,table,TOTAL ASSETS (A+B) | 1100 | 298.382
Rovi_Annual_2017_ENG,286,balance,total_equity,1200.0,table,TOTAL EQUITY AND LIABILITIES (A + B + C) | 1200 | 298.382
Rovi_Annual_2017_ENG,287,income,revenue,1205.0,table,(+) Net revenue | 1205 | 136.890
Rovi_Annual_2017_ENG,287,income,ebit,1245.0,table,= OPERATING PROFIT/(LOSS) | 1245 | 999
Rovi_Annual_2017_ENG,291,cashflow,operating_cashflow,1435.0,table,A) CASH FLOWS FROM OPERATING ACTIVITIES (1+ 2+ 3 +4) | 1435 | 18.039
Rovi_Annual_2017_ENG,296,balance,net_income,30003000.0,table,"Capital Reserves (Treasury shares) Retained earnings Profit for the year Adjustments for change in value Grants, donations and legacies received | 3,000 3,000 - 6,959 6,959 - (8,701) (8,701) - 110,657 110,657 - 29,932 31,842 (1,910) (3) (3) - 3,904 3,904 -"
Rovi_Annual_2017_ENG,296,balance,total_assets,282908285455.0,table,"TOTAL ASSETS | 282,908 285,455 (2,547)"
Rovi_Annual_2017_ENG,296,balance,total_equity,282908285455.0,table,"TOTAL EQUITY AND LIABILITIES | 282,908 285,455 (2,547)"
Rovi_Annual_2017_ENG,297,income,revenue,231382231382.0,table,"CONTINUING OPERATIONS Net sales Change in inventories of finished products & work in progress Supplies Other operating income Employee benefit expenses Other operating income Amortization, depreciation & impairment charges Allocation of grants for non-financial assets and other Impairment and gains/(losses) on disposal of intangible assets and property, plant and equipment | 231,382 231,382 - (6,435) (6,435) - (129,543) (129,543) - 2,792 2,792 - (29,080) (29,080) - (49,297) (49,297) - (7,608) (7,608) - 1,082 1,082 - (25) (25) -"
