,,INDIVIDUAL,,CONSOLIDATED,
,,CURRENT,PREVIOUS,CURRENT,PREVIOUS
,,PERIOD,PERIOD,PERIOD,PERIOD
AVERAGE NUMBER OF EMPLOYEES,2295,685,676,2.137,2.037
Men,2296,299,286,995,946
Women,2297,386,390,1.142,1.091
,,,,,
,,,,,
,,,,,
