Name,Position
,
MR FRANCISCO JAVIER ANGULO GARCÍA,Human Resources Manager
MS MERCEDES BENÍTEZ DEL CASTILLO SÁNCHEZ,Legal Department Manager
MR MIGUEL ÁNGEL ORTEGA SÁNCHEZ,Industrial Manager
MR IBÓN GUTIERRO ADÚRIZ,Pre-clinical Research Manager
MS Mª. ROSARIO PERUCHA PÉREZ,Marketing Manager
MS BEATRIZ ÁVILA ALCALDE,Sales Manager
