,,
Q1 2025,Q1 2024,Growth
67.7,54.3,13.4
40.6,34.6,5.9
27.1,19.7,7.4
14.4,15.4,(1.0)
12.7,4.3,8.4
1.9,2.0,(0.1)
69.6,56.3,13.3
